ORDER_NUMBER,LINE_NUMBER,CUSTOMER_NAME,CUSTOMER_TYPE,PO_NUMBER,INVOICE_NUMBER,ORDER_CREATED_DATE,PRINTED_DATE,ESTIMATED_SHIP_DATE,ACTUAL_SHIP_DATE,INVOICE_DATE,ITEM_SKU,LINE_DESCRIPTION,MATERIAL,ORDER_STATUS,INVOICE_STATUS,QTY_ORDERED,QTY_TO_DELIVER,QTY_DELIVERED,QTY_PRINTED,QTY_INVOICED,ACT_UNIT_PRICE,ORDERED_SALES,PRODUCED_SALES,PRODUCED_COST,INVOICED_REVENUE,UOM,TOTAL_YARDS,YARDS_INVOICED,INK_USAGE,INK_TOTAL_COST,SHIPPING_TOTAL,TAX_TOTAL,AMOUNT_PAID,PAYMENT_STATUS,FLAGS,FLAGS_TEXT,PATTERN_WIDTH,PATTERN_HEIGHT,ORDER_TYPE,PRINTED_WIDTH,PRINTED_HEIGHT,CORRECT_AMOUNT_PRINTED,STORAGE_TYPE,CUT_OPTION,Source Data
50913,,China Seas,,50913,SI-50913,12/20/2021,1/3/2022,,,1/3/2022,BoxP,Box Charge,,Invoiced,APPROVED,1,,,1,1,4.75,4.75,,,4.75,,,,,,,,,,,,,,Screen Print,,,,,,Everest
50914,,China Seas,,50914,SI-50914,12/20/2021,1/3/2022,,,1/3/2022,BoxP,Box Charge,,Invoiced,APPROVED,1,,,1,1,4.75,4.75,,,4.75,,,,,,,,,,,,,,Screen Print,,,,,,Everest
50915,,China Seas,,50915,SI-50915,12/20/2021,1/3/2022,,,1/3/2022,BoxP,Box Charge,,Invoiced,APPROVED,1,,,1,1,4.75,4.75,,,4.75,,,,,,,,,,,,,,Screen Print,,,,,,Everest
50943,,China Seas,,50943,SI-50943,12/23/2021,1/6/2022,,,1/6/2022,BoxP,Box Charge,,Invoiced,APPROVED,1,,,1,1,4.75,4.75,,,4.75,,,,,,,,,,,,,,Screen Print,,,,,,Everest
50966,,China Seas,,50966,SI-50966,12/27/2021,1/10/2022,,,1/10/2022,BoxP,Box Charge,,Invoiced,APPROVED,1,,,1,1,4.75,4.75,,,4.75,,,,,,,,,,,,,,Screen Print,,,,,,Everest
50985,,China Seas,,50985,SI-50985,12/28/2021,1/11/2022,,,1/11/2022,BoxP,Box Charge,,Invoiced,APPROVED,1,,,1,1,4.75,4.75,,,4.75,,,,,,,,,,,,,,Screen Print,,,,,,Everest
50986,,China Seas,,50986,SI-50986,12/28/2021,1/11/2022,,,1/11/2022,BoxP,Box Charge,,Invoiced,APPROVED,1,,,1,1,4.75,4.75,,,4.75,,,,,,,,,,,,,,Screen Print,,,,,,Everest
51001,,China Seas,,51001,SI-51001,12/29/2021,1/12/2022,,,1/12/2022,BoxP,Box Charge,,Invoiced,APPROVED,1,,,1,1,4.75,4.75,,,4.75,,,,,,,,,,,,,,Screen Print,,,,,,Everest
51012,,China Seas,,51012,SI-51012,12/30/2021,1/13/2022,,,1/13/2022,BoxP,Box Charge,,Invoiced,APPROVED,1,,,1,1,4.75,4.75,,,4.75,,,,,,,,,,,,,,Screen Print,,,,,,Everest
51013,,China Seas,,51013,SI-51013,12/30/2021,1/13/2022,,,1/13/2022,BoxP,Box Charge,,Invoiced,APPROVED,1,,,1,1,4.75,4.75,,,4.75,,,,,,,,,,,,,,Screen Print,,,,,,Everest
51017,,China Seas,,51017,SI-51017,12/31/2021,1/14/2022,,,1/14/2022,BoxP,Box Charge,,Invoiced,APPROVED,1,,,1,1,4.75,4.75,,,4.75,,,,,,,,,,,,,,Screen Print,,,,,,Everest
51018,,China Seas,,51018,SI-51018,12/31/2021,1/14/2022,,,1/14/2022,BoxP,Box Charge,,Invoiced,APPROVED,1,,,1,1,4.75,4.75,,,4.75,,,,,,,,,,,,,,Screen Print,,,,,,Everest
51027,,China Seas,,51027,SI-51027,12/31/2021,1/14/2022,,,1/14/2022,BoxP,Box Charge,,Invoiced,APPROVED,1,,,1,1,4.75,4.75,,,4.75,,,,,,,,,,,,,,Screen Print,,,,,,Everest
51028,,China Seas,,51028,SI-51028,12/31/2021,1/14/2022,,,1/14/2022,BoxP,Box Charge,,Invoiced,APPROVED,1,,,1,1,4.75,4.75,,,4.75,,,,,,,,,,,,,,Screen Print,,,,,,Everest
51045,,China Seas,,51045,SI-51045,1/3/2022,1/17/2022,,,1/17/2022,BoxP,Box Charge,,Invoiced,APPROVED,1,,,1,1,4.75,4.75,,,4.75,,,,,,,,,,,,,,Screen Print,,,,,,Everest
51047,,China Seas,,51047,SI-51047,1/4/2022,1/18/2022,,,1/18/2022,BoxP,Box Charge,,Invoiced,APPROVED,1,,,1,1,4.75,4.75,,,4.75,,,,,,,,,,,,,,Screen Print,,,,,,Everest
51058,,China Seas,,51058,SI-51058,1/4/2022,1/18/2022,,,1/18/2022,BoxP,Box Charge,,Invoiced,APPROVED,1,,,1,1,4.75,4.75,,,4.75,,,,,,,,,,,,,,Screen Print,,,,,,Everest
51059,,China Seas,,51059,SI-51059,1/4/2022,1/18/2022,,,1/18/2022,BoxP,Box Charge,,Invoiced,APPROVED,1,,,1,1,4.75,4.75,,,4.75,,,,,,,,,,,,,,Screen Print,,,,,,Everest
51073,,China Seas,,51073,SI-51073,1/5/2022,1/19/2022,,,1/19/2022,BoxP,Box Charge,,Invoiced,APPROVED,1,,,1,1,4.75,4.75,,,4.75,,,,,,,,,,,,,,Screen Print,,,,,,Everest
51095,,China Seas,,51095,SI-51095,1/7/2022,1/21/2022,,,1/21/2022,BoxP,Box Charge,,Invoiced,APPROVED,1,,,1,1,4.75,4.75,,,4.75,,,,,,,,,,,,,,Screen Print,,,,,,Everest
51097,,China Seas,,51097,SI-51097,1/7/2022,1/21/2022,,,1/21/2022,BoxP,Box Charge,,Invoiced,APPROVED,1,,,1,1,4.75,4.75,,,4.75,,,,,,,,,,,,,,Screen Print,,,,,,Everest
51102,,China Seas,,51102,SI-51102,1/7/2022,1/21/2022,,,1/21/2022,BoxP,Box Charge,,Invoiced,APPROVED,1,,,1,1,4.75,4.75,,,4.75,,,,,,,,,,,,,,Screen Print,,,,,,Everest
51119,,China Seas,,51119,SI-51119,1/10/2022,1/24/2022,,,1/24/2022,BoxP,Box Charge,,Invoiced,APPROVED,1,,,1,1,4.75,4.75,,,4.75,,,,,,,,,,,,,,Screen Print,,,,,,Everest
51130,,China Seas,,51130,SI-51130,1/11/2022,1/25/2022,,,1/25/2022,BoxP,Box Charge,,Invoiced,APPROVED,1,,,1,1,4.75,4.75,,,4.75,,,,,,,,,,,,,,Screen Print,,,,,,Everest
51132,,China Seas,,51132,SI-51132,1/11/2022,1/25/2022,,,1/25/2022,BoxP,Box Charge,,Invoiced,APPROVED,1,,,1,1,4.75,4.75,,,4.75,,,,,,,,,,,,,,Screen Print,,,,,,Everest
51133,,China Seas,,51133,SI-51133,1/11/2022,1/25/2022,,,1/25/2022,BoxP,Box Charge,,Invoiced,APPROVED,1,,,1,1,4.75,4.75,,,4.75,,,,,,,,,,,,,,Screen Print,,,,,,Everest
51134,,China Seas,,51134,SI-51134,1/11/2022,1/25/2022,,,1/25/2022,BoxP,Box Charge,,Invoiced,APPROVED,1,,,1,1,4.75,4.75,,,4.75,,,,,,,,,,,,,,Screen Print,,,,,,Everest
51136,,China Seas,,51136,SI-51136,1/11/2022,1/25/2022,,,1/25/2022,BoxP,Box Charge,,Invoiced,APPROVED,1,,,1,1,4.75,4.75,,,4.75,,,,,,,,,,,,,,Screen Print,,,,,,Everest
51139,,China Seas,,51139,SI-51139,1/12/2022,1/26/2022,,,1/26/2022,BoxP,Box Charge,,Invoiced,APPROVED,1,,,1,1,4.75,4.75,,,4.75,,,,,,,,,,,,,,Screen Print,,,,,,Everest
51140,,China Seas,,51140,SI-51140,1/12/2022,1/26/2022,,,1/26/2022,BoxP,Box Charge,,Invoiced,APPROVED,1,,,1,1,4.75,4.75,,,4.75,,,,,,,,,,,,,,Screen Print,,,,,,Everest
51142,,China Seas,,51142,SI-51142,1/12/2022,1/26/2022,,,1/26/2022,BoxP,Box Charge,,Invoiced,APPROVED,1,,,1,1,4.75,4.75,,,4.75,,,,,,,,,,,,,,Screen Print,,,,,,Everest
51147,,China Seas,,51147,SI-51147,1/12/2022,1/26/2022,,,1/26/2022,BoxP,Box Charge,,Invoiced,APPROVED,1,,,1,1,4.75,4.75,,,4.75,,,,,,,,,,,,,,Screen Print,,,,,,Everest
51149,,China Seas,,51149,SI-51149,1/12/2022,1/26/2022,,,1/26/2022,BoxP,Box Charge,,Invoiced,APPROVED,1,,,1,1,4.75,4.75,,,4.75,,,,,,,,,,,,,,Screen Print,,,,,,Everest
51151,,China Seas,,51151,SI-51151,1/12/2022,1/26/2022,,,1/26/2022,BoxP,Box Charge,,Invoiced,APPROVED,1,,,1,1,4.75,4.75,,,4.75,,,,,,,,,,,,,,Screen Print,,,,,,Everest
51156,,China Seas,,51156,SI-51156,1/13/2022,1/27/2022,,,1/27/2022,BoxP,Box Charge,,Invoiced,APPROVED,1,,,1,1,4.75,4.75,,,4.75,,,,,,,,,,,,,,Screen Print,,,,,,Everest
51170,,China Seas,,51170,SI-51170,1/14/2022,1/28/2022,,,1/28/2022,BoxP,Box Charge,,Invoiced,APPROVED,1,,,1,1,4.75,4.75,,,4.75,,,,,,,,,,,,,,Screen Print,,,,,,Everest
51172,,China Seas,,51172,SI-51172,1/14/2022,1/28/2022,,,1/28/2022,BoxP,Box Charge,,Invoiced,APPROVED,1,,,1,1,4.75,4.75,,,4.75,,,,,,,,,,,,,,Screen Print,,,,,,Everest
51173,,China Seas,,51173,SI-51173,1/14/2022,1/28/2022,,,1/28/2022,BoxP,Box Charge,,Invoiced,APPROVED,1,,,1,1,4.75,4.75,,,4.75,,,,,,,,,,,,,,Screen Print,,,,,,Everest
51184,,China Seas,,51184,SI-51184,1/17/2022,1/31/2022,,,1/31/2022,BoxP,Box Charge,,Invoiced,APPROVED,1,,,1,1,4.75,4.75,,,4.75,,,,,,,,,,,,,,Screen Print,,,,,,Everest
51214,,China Seas,,51214,SI-51214,1/19/2022,2/2/2022,,,2/2/2022,BoxP,Box Charge,,Invoiced,APPROVED,1,,,1,1,4.75,4.75,,,4.75,,,,,,,,,,,,,,Screen Print,,,,,,Everest
51226,,China Seas,,51226,SI-51226,1/20/2022,2/3/2022,,,2/3/2022,BoxP,Box Charge,,Invoiced,APPROVED,1,,,1,1,4.75,4.75,,,4.75,,,,,,,,,,,,,,Screen Print,,,,,,Everest
51227,,China Seas,,51227,SI-51227,1/20/2022,2/3/2022,,,2/3/2022,BoxP,Box Charge,,Invoiced,APPROVED,1,,,1,1,4.75,4.75,,,4.75,,,,,,,,,,,,,,Screen Print,,,,,,Everest
51236,,China Seas,,51236,SI-51236,1/21/2022,2/4/2022,,,2/4/2022,BoxP,Box Charge,,Invoiced,APPROVED,1,,,1,1,4.75,4.75,,,4.75,,,,,,,,,,,,,,Screen Print,,,,,,Everest
51256,,China Seas,,51256,SI-51256,1/25/2022,2/8/2022,,,2/8/2022,BoxP,Box Charge,,Invoiced,APPROVED,1,,,1,1,4.75,4.75,,,4.75,,,,,,,,,,,,,,Screen Print,,,,,,Everest
51257,,China Seas,,51257,SI-51257,1/25/2022,2/8/2022,,,2/8/2022,BoxP,Box Charge,,Invoiced,APPROVED,1,,,1,1,4.75,4.75,,,4.75,,,,,,,,,,,,,,Screen Print,,,,,,Everest
51268,,China Seas,,51268,SI-51268,1/26/2022,2/9/2022,,,2/9/2022,BoxP,Box Charge,,Invoiced,APPROVED,1,,,1,1,4.75,4.75,,,4.75,,,,,,,,,,,,,,Screen Print,,,,,,Everest
51271,,China Seas,,51271,SI-51271,1/26/2022,2/9/2022,,,2/9/2022,BoxP,Box Charge,,Invoiced,APPROVED,1,,,1,1,4.75,4.75,,,4.75,,,,,,,,,,,,,,Screen Print,,,,,,Everest
51275,,China Seas,,51275,SI-51275,1/27/2022,2/10/2022,,,2/10/2022,BoxP,Box Charge,,Invoiced,APPROVED,1,,,1,1,4.75,4.75,,,4.75,,,,,,,,,,,,,,Screen Print,,,,,,Everest
51276,,China Seas,,51276,SI-51276,1/27/2022,2/10/2022,,,2/10/2022,BoxP,Box Charge,,Invoiced,APPROVED,1,,,1,1,4.75,4.75,,,4.75,,,,,,,,,,,,,,Screen Print,,,,,,Everest
51279,,China Seas,,51279,SI-51279,1/27/2022,2/10/2022,,,2/10/2022,BoxP,Box Charge,,Invoiced,APPROVED,1,,,1,1,4.75,4.75,,,4.75,,,,,,,,,,,,,,Screen Print,,,,,,Everest
51284,,China Seas,,51284,SI-51284,1/27/2022,2/10/2022,,,2/10/2022,BoxP,Box Charge,,Invoiced,APPROVED,1,,,1,1,4.75,4.75,,,4.75,,,,,,,,,,,,,,Screen Print,,,,,,Everest
51287,,China Seas,,51287,SI-51287,1/28/2022,2/11/2022,,,2/11/2022,BoxP,Box Charge,,Invoiced,APPROVED,1,,,1,1,4.75,4.75,,,4.75,,,,,,,,,,,,,,Screen Print,,,,,,Everest
51288,,China Seas,,51288,SI-51288,1/28/2022,2/11/2022,,,2/11/2022,BoxP,Box Charge,,Invoiced,APPROVED,1,,,1,1,4.75,4.75,,,4.75,,,,,,,,,,,,,,Screen Print,,,,,,Everest
51293,,China Seas,,51293,SI-51293,1/28/2022,2/11/2022,,,2/11/2022,BoxP,Box Charge,,Invoiced,APPROVED,1,,,1,1,4.75,4.75,,,4.75,,,,,,,,,,,,,,Screen Print,,,,,,Everest
51304,,China Seas,,51304,SI-51304,1/31/2022,2/14/2022,,,2/14/2022,BoxP,Box Charge,,Invoiced,APPROVED,1,,,1,1,4.75,4.75,,,4.75,,,,,,,,,,,,,,Screen Print,,,,,,Everest
51305,,China Seas,,51305,SI-51305,1/31/2022,2/14/2022,,,2/14/2022,BoxP,Box Charge,,Invoiced,APPROVED,1,,,1,1,4.75,4.75,,,4.75,,,,,,,,,,,,,,Screen Print,,,,,,Everest
51327,,China Seas,,51327,SI-51327,2/2/2022,2/16/2022,,,2/16/2022,BoxP,Box Charge,,Invoiced,APPROVED,1,,,1,1,4.75,4.75,,,4.75,,,,,,,,,,,,,,Screen Print,,,,,,Everest
51328,,China Seas,,51328,SI-51328,2/2/2022,2/16/2022,,,2/16/2022,BoxP,Box Charge,,Invoiced,APPROVED,1,,,1,1,4.75,4.75,,,4.75,,,,,,,,,,,,,,Screen Print,,,,,,Everest
51329,,China Seas,,51329,SI-51329,2/2/2022,2/16/2022,,,2/16/2022,BoxP,Box Charge,,Invoiced,APPROVED,1,,,1,1,4.75,4.75,,,4.75,,,,,,,,,,,,,,Screen Print,,,,,,Everest
51349,,China Seas,,51349,SI-51349,2/4/2022,2/18/2022,,,2/18/2022,BoxP,Box Charge,,Invoiced,APPROVED,1,,,1,1,4.75,4.75,,,4.75,,,,,,,,,,,,,,Screen Print,,,,,,Everest
51366,,China Seas,,51366,SI-51366,2/8/2022,2/22/2022,,,2/22/2022,BoxP,Box Charge,,Invoiced,APPROVED,1,,,1,1,4.75,4.75,,,4.75,,,,,,,,,,,,,,Screen Print,,,,,,Everest
51377,,China Seas,,51377,SI-51377,2/9/2022,2/23/2022,,,2/23/2022,BoxP,Box Charge,,Invoiced,APPROVED,1,,,1,1,4.75,4.75,,,4.75,,,,,,,,,,,,,,Screen Print,,,,,,Everest
51380,,China Seas,,51380,SI-51380,2/9/2022,2/23/2022,,,2/23/2022,BoxP,Box Charge,,Invoiced,APPROVED,1,,,1,1,4.75,4.75,,,4.75,,,,,,,,,,,,,,Screen Print,,,,,,Everest
51381,,China Seas,,51381,SI-51381,2/9/2022,2/23/2022,,,2/23/2022,BoxP,Box Charge,,Invoiced,APPROVED,1,,,1,1,4.75,4.75,,,4.75,,,,,,,,,,,,,,Screen Print,,,,,,Everest
51386,,China Seas,,51386,SI-51386,2/10/2022,2/24/2022,,,2/24/2022,BoxP,Box Charge,,Invoiced,APPROVED,1,,,1,1,4.75,4.75,,,4.75,,,,,,,,,,,,,,Screen Print,,,,,,Everest
51388,,China Seas,,51388,SI-51388,2/10/2022,2/24/2022,,,2/24/2022,BoxP,Box Charge,,Invoiced,APPROVED,1,,,1,1,4.75,4.75,,,4.75,,,,,,,,,,,,,,Screen Print,,,,,,Everest
51400,,China Seas,,51400,SI-51400,2/11/2022,2/25/2022,,,2/25/2022,BoxP,Box Charge,,Invoiced,APPROVED,1,,,1,1,4.75,4.75,,,4.75,,,,,,,,,,,,,,Screen Print,,,,,,Everest
51405,,China Seas,,51405,SI-51405,2/11/2022,2/25/2022,,,2/25/2022,BoxP,Box Charge,,Invoiced,APPROVED,1,,,1,1,4.75,4.75,,,4.75,,,,,,,,,,,,,,Screen Print,,,,,,Everest
51415,,China Seas,,51415,SI-51415,2/14/2022,2/28/2022,,,2/28/2022,BoxP,Box Charge,,Invoiced,APPROVED,1,,,1,1,4.75,4.75,,,4.75,,,,,,,,,,,,,,Screen Print,,,,,,Everest
51416,,China Seas,,51416,SI-51416,2/14/2022,2/28/2022,,,2/28/2022,BoxP,Box Charge,,Invoiced,APPROVED,1,,,1,1,4.75,4.75,,,4.75,,,,,,,,,,,,,,Screen Print,,,,,,Everest
51446,,China Seas,,51446,SI-51446,2/17/2022,3/3/2022,,,3/3/2022,BoxP,Box Charge,,Invoiced,APPROVED,1,,,1,1,4.75,4.75,,,4.75,,,,,,,,,,,,,,Screen Print,,,,,,Everest
51460,,China Seas,,51460,SI-51460,2/18/2022,3/4/2022,,,3/4/2022,BoxP,Box Charge,,Invoiced,APPROVED,1,,,1,1,4.75,4.75,,,4.75,,,,,,,,,,,,,,Screen Print,,,,,,Everest
51471,,China Seas,,51471,SI-51471,2/18/2022,3/4/2022,,,3/4/2022,BoxP,Box Charge,,Invoiced,APPROVED,1,,,1,1,4.75,4.75,,,4.75,,,,,,,,,,,,,,Screen Print,,,,,,Everest
51473,,China Seas,,51473,SI-51473,2/18/2022,3/4/2022,,,3/4/2022,BoxP,Box Charge,,Invoiced,APPROVED,1,,,1,1,4.75,4.75,,,4.75,,,,,,,,,,,,,,Screen Print,,,,,,Everest
51475,,China Seas,,51475,SI-51475,2/18/2022,3/4/2022,,,3/4/2022,BoxP,Box Charge,,Invoiced,APPROVED,1,,,1,1,4.75,4.75,,,4.75,,,,,,,,,,,,,,Screen Print,,,,,,Everest
51485,,China Seas,,51485,SI-51485,2/21/2022,3/7/2022,,,3/7/2022,BoxP,Box Charge,,Invoiced,APPROVED,1,,,1,1,4.75,4.75,,,4.75,,,,,,,,,,,,,,Screen Print,,,,,,Everest
51486,,China Seas,,51486,SI-51486,2/21/2022,3/7/2022,,,3/7/2022,BoxP,Box Charge,,Invoiced,APPROVED,1,,,1,1,4.75,4.75,,,4.75,,,,,,,,,,,,,,Screen Print,,,,,,Everest
51487,,China Seas,,51487,SI-51487,2/21/2022,3/7/2022,,,3/7/2022,BoxP,Box Charge,,Invoiced,APPROVED,1,,,1,1,4.75,4.75,,,4.75,,,,,,,,,,,,,,Screen Print,,,,,,Everest
51490,,China Seas,,51490,SI-51490,2/22/2022,3/8/2022,,,3/8/2022,BoxP,Box Charge,,Invoiced,APPROVED,1,,,1,1,4.75,4.75,,,4.75,,,,,,,,,,,,,,Screen Print,,,,,,Everest
51492,,China Seas,,51492,SI-51492,2/22/2022,3/8/2022,,,3/8/2022,BoxP,Box Charge,,Invoiced,APPROVED,1,,,1,1,4.75,4.75,,,4.75,,,,,,,,,,,,,,Screen Print,,,,,,Everest
51502,,China Seas,,51502,SI-51502,2/23/2022,3/9/2022,,,3/9/2022,BoxP,Box Charge,,Invoiced,APPROVED,1,,,1,1,4.75,4.75,,,4.75,,,,,,,,,,,,,,Screen Print,,,,,,Everest
51506,,China Seas,,51506,SI-51506,2/23/2022,3/9/2022,,,3/9/2022,BoxP,Box Charge,,Invoiced,APPROVED,1,,,1,1,4.75,4.75,,,4.75,,,,,,,,,,,,,,Screen Print,,,,,,Everest
51526,,China Seas,,51526,SI-51526,2/25/2022,3/11/2022,,,3/11/2022,BoxP,Box Charge,,Invoiced,APPROVED,1,,,1,1,4.75,4.75,,,4.75,,,,,,,,,,,,,,Screen Print,,,,,,Everest
51541,,China Seas,,51541,SI-51541,2/28/2022,3/14/2022,,,3/14/2022,BoxP,Box Charge,,Invoiced,APPROVED,1,,,1,1,4.75,4.75,,,4.75,,,,,,,,,,,,,,Screen Print,,,,,,Everest
51555,,China Seas,,51555,SI-51555,3/1/2022,3/15/2022,,,3/15/2022,BoxP,Box Charge,,Invoiced,APPROVED,1,,,1,1,4.75,4.75,,,4.75,,,,,,,,,,,,,,Screen Print,,,,,,Everest
51556,,China Seas,,51556,SI-51556,3/1/2022,3/15/2022,,,3/15/2022,BoxP,Box Charge,,Invoiced,APPROVED,1,,,1,1,4.75,4.75,,,4.75,,,,,,,,,,,,,,Screen Print,,,,,,Everest
51576,,China Seas,,51576,SI-51576,3/2/2022,3/16/2022,,,3/16/2022,BoxP,Box Charge,,Invoiced,APPROVED,1,,,1,1,4.75,4.75,,,4.75,,,,,,,,,,,,,,Screen Print,,,,,,Everest
51618,,China Seas,,51618,SI-51618,3/7/2022,3/21/2022,,,3/21/2022,BoxP,Box Charge,,Invoiced,APPROVED,1,,,1,1,4.75,4.75,,,4.75,,,,,,,,,,,,,,Screen Print,,,,,,Everest
51629,,China Seas,,51629,SI-51629,3/8/2022,3/22/2022,,,3/22/2022,BoxP,Box Charge,,Invoiced,APPROVED,1,,,1,1,4.75,4.75,,,4.75,,,,,,,,,,,,,,Screen Print,,,,,,Everest
51648,,China Seas,,51648,SI-51648,3/9/2022,3/23/2022,,,3/23/2022,BoxP,Box Charge,,Invoiced,APPROVED,1,,,1,1,4.75,4.75,,,4.75,,,,,,,,,,,,,,Screen Print,,,,,,Everest
51656,,China Seas,,51656,SI-51656,3/10/2022,3/24/2022,,,3/24/2022,BoxP,Box Charge,,Invoiced,APPROVED,1,,,1,1,4.75,4.75,,,4.75,,,,,,,,,,,,,,Screen Print,,,,,,Everest
51696,,China Seas,,51696,SI-51696,3/14/2022,3/28/2022,,,3/28/2022,BoxP,Box Charge,,Invoiced,APPROVED,1,,,1,1,4.75,4.75,,,4.75,,,,,,,,,,,,,,Screen Print,,,,,,Everest
51697,,China Seas,,51697,SI-51697,3/14/2022,3/28/2022,,,3/28/2022,BoxP,Box Charge,,Invoiced,APPROVED,1,,,1,1,4.75,4.75,,,4.75,,,,,,,,,,,,,,Screen Print,,,,,,Everest
51720,,China Seas,,51720,SI-51720,3/15/2022,3/29/2022,,,3/29/2022,BoxP,Box Charge,,Invoiced,APPROVED,1,,,1,1,4.75,4.75,,,4.75,,,,,,,,,,,,,,Screen Print,,,,,,Everest
51723,,China Seas,,51723,SI-51723,3/15/2022,3/29/2022,,,3/29/2022,BoxP,Box Charge,,Invoiced,APPROVED,1,,,1,1,4.75,4.75,,,4.75,,,,,,,,,,,,,,Screen Print,,,,,,Everest
51724,,China Seas,,51724,SI-51724,3/15/2022,3/29/2022,,,3/29/2022,BoxP,Box Charge,,Invoiced,APPROVED,1,,,1,1,4.75,4.75,,,4.75,,,,,,,,,,,,,,Screen Print,,,,,,Everest
51736,,China Seas,,51736,SI-51736,3/16/2022,3/30/2022,,,3/30/2022,BoxP,Box Charge,,Invoiced,APPROVED,1,,,1,1,4.75,4.75,,,4.75,,,,,,,,,,,,,,Screen Print,,,,,,Everest
51753,,China Seas,,51753,SI-51753,3/17/2022,3/31/2022,,,3/31/2022,BoxP,Box Charge,,Invoiced,APPROVED,1,,,1,1,4.75,4.75,,,4.75,,,,,,,,,,,,,,Screen Print,,,,,,Everest
51757,,China Seas,,51757,SI-51757,3/18/2022,4/1/2022,,,4/1/2022,BoxP,Box Charge,,Invoiced,APPROVED,1,,,1,1,4.75,4.75,,,4.75,,,,,,,,,,,,,,Screen Print,,,,,,Everest
51759,,China Seas,,51759,SI-51759,3/18/2022,4/1/2022,,,4/1/2022,BoxP,Box Charge,,Invoiced,APPROVED,1,,,1,1,4.75,4.75,,,4.75,,,,,,,,,,,,,,Screen Print,,,,,,Everest
51781,,China Seas,,51781,SI-51781,3/21/2022,4/4/2022,,,4/4/2022,BoxP,Box Charge,,Invoiced,APPROVED,1,,,1,1,4.75,4.75,,,4.75,,,,,,,,,,,,,,Screen Print,,,,,,Everest
51806,,China Seas,,51806,SI-51806,3/22/2022,4/5/2022,,,4/5/2022,BoxP,Box Charge,,Invoiced,APPROVED,1,,,1,1,4.75,4.75,,,4.75,,,,,,,,,,,,,,Screen Print,,,,,,Everest
51807,,China Seas,,51807,SI-51807,3/22/2022,4/5/2022,,,4/5/2022,BoxP,Box Charge,,Invoiced,APPROVED,1,,,1,1,4.75,4.75,,,4.75,,,,,,,,,,,,,,Screen Print,,,,,,Everest
51824,,China Seas,,51824,SI-51824,3/23/2022,4/6/2022,,,4/6/2022,BoxP,Box Charge,,Invoiced,APPROVED,1,,,1,1,4.75,4.75,,,4.75,,,,,,,,,,,,,,Screen Print,,,,,,Everest
51839,,China Seas,,51839,SI-51839,3/25/2022,4/8/2022,,,4/8/2022,BoxP,Box Charge,,Invoiced,APPROVED,1,,,1,1,4.75,4.75,,,4.75,,,,,,,,,,,,,,Screen Print,,,,,,Everest
51840,,China Seas,,51840,SI-51840,3/25/2022,4/8/2022,,,4/8/2022,BoxP,Box Charge,,Invoiced,APPROVED,1,,,1,1,4.75,4.75,,,4.75,,,,,,,,,,,,,,Screen Print,,,,,,Everest
51853,,China Seas,,51853,SI-51853,3/28/2022,4/11/2022,,,4/11/2022,BoxP,Box Charge,,Invoiced,APPROVED,1,,,1,1,4.75,4.75,,,4.75,,,,,,,,,,,,,,Screen Print,,,,,,Everest
51855,,China Seas,,51855,SI-51855,3/28/2022,4/11/2022,,,4/11/2022,BoxP,Box Charge,,Invoiced,APPROVED,1,,,1,1,4.75,4.75,,,4.75,,,,,,,,,,,,,,Screen Print,,,,,,Everest
51856,,China Seas,,51856,SI-51856,3/28/2022,4/11/2022,,,4/11/2022,BoxP,Box Charge,,Invoiced,APPROVED,1,,,1,1,4.75,4.75,,,4.75,,,,,,,,,,,,,,Screen Print,,,,,,Everest
51866,,China Seas,,51866,SI-51866,3/29/2022,4/12/2022,,,4/12/2022,BoxP,Box Charge,,Invoiced,APPROVED,1,,,1,1,4.75,4.75,,,4.75,,,,,,,,,,,,,,Screen Print,,,,,,Everest
51879,,China Seas,,51879,SI-51879,3/30/2022,4/13/2022,,,4/13/2022,BoxP,Box Charge,,Invoiced,APPROVED,1,,,1,1,4.75,4.75,,,4.75,,,,,,,,,,,,,,Screen Print,,,,,,Everest
51894,,China Seas,,51894,SI-51894,3/31/2022,4/14/2022,,,4/14/2022,BoxP,Box Charge,,Invoiced,APPROVED,1,,,1,1,4.75,4.75,,,4.75,,,,,,,,,,,,,,Screen Print,,,,,,Everest
51920,,China Seas,,51920,SI-51920,4/5/2022,4/19/2022,,,4/19/2022,BoxP,Box Charge,,Invoiced,APPROVED,1,,,1,1,4.75,4.75,,,4.75,,,,,,,,,,,,,,Screen Print,,,,,,Everest
51938,,China Seas,,51938,SI-51938,4/6/2022,4/20/2022,,,4/20/2022,BoxP,Box Charge,,Invoiced,APPROVED,1,,,1,1,4.75,4.75,,,4.75,,,,,,,,,,,,,,Screen Print,,,,,,Everest
51946,,China Seas,,51946,SI-51946,4/6/2022,4/20/2022,,,4/20/2022,BoxP,Box Charge,,Invoiced,APPROVED,1,,,1,1,4.75,4.75,,,4.75,,,,,,,,,,,,,,Screen Print,,,,,,Everest
51953,,China Seas,,51953,SI-51953,4/7/2022,4/21/2022,,,4/21/2022,BoxP,Box Charge,,Invoiced,APPROVED,1,,,1,1,4.75,4.75,,,4.75,,,,,,,,,,,,,,Screen Print,,,,,,Everest
